,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
256,FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,19,24,21,4,No
257,FORD F150,3.3,6.0,SemiAuto-6,2WD,Gasoline,pickup,5,19,24,21,4,No
258,FORD F150,3.3,6.0,SemiAuto-6,2WD,Gasoline,pickup,5,19,25,22,4,No
259,FORD F150,3.3,6.0,SemiAuto-6,4WD,Gasoline,pickup,5,17,22,19,3,No
260,FORD F150,3.3,6.0,SemiAuto-6,4WD,Gasoline,pickup,5,18,23,20,4,No
261,FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,21,19,3,No
262,FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,17,22,19,3,No
263,FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,pickup,5,18,25,21,4,No
264,FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,16,21,18,3,No
265,FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,16,22,19,3,No
266,FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,5,17,23,19,3,No
267,FORD F150,5.0,8.0,SemiAuto-10,2WD,Gasoline,pickup,3,16,20,17,3,No
268,FORD F150,5.0,8.0,SemiAuto-10,2WD,Gasoline,pickup,3,16,21,18,3,No
269,FORD F150,5.0,8.0,SemiAuto-10,2WD,Gasoline,pickup,3,17,23,19,3,No
270,FORD F150,5.0,8.0,SemiAuto-10,4WD,Gasoline,pickup,3,15,19,17,3,No
271,FORD F150,5.0,8.0,SemiAuto-10,4WD,Gasoline,pickup,3,16,20,17,3,No
272,FORD F150,5.0,8.0,SemiAuto-10,4WD,Gasoline,pickup,3,16,22,18,3,No
273,FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,pickup,3,15,18,16,2,No
274,FORD Flex,3.5,6.0,SemiAuto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
275,FORD Flex,3.5,6.0,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No
276,FORD Flex,3.5,6.0,SemiAuto-6,4WD,Gasoline,standard SUV,3,16,22,18,3,No
277,FORD Fusion,1.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,23,34,27,6,No
278,FORD Fusion,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,21,31,25,5,No
279,FORD Fusion,2.0,4.0,SemiAuto-6,4WD,Gasoline,midsize car,5,20,29,23,5,No
280,FORD Fusion,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,5,21,32,25,5,No
281,FORD Fusion,2.7,6.0,SemiAuto-6,4WD,Gasoline,midsize car,5,17,26,20,4,No
282,FORD Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,Yes
283,FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,3,19,27,22,4,No
284,FORD Transit Connect,2.5,4.0,SemiAuto-6,2WD,Gasoline,special purpose,3,20,27,23,5,No
285,GENESIS G80,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
286,GENESIS G80,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No
287,GENESIS G80,3.8,6.0,SemiAuto-8,2WD,Gasoline,large car,5,19,27,22,4,No
288,GENESIS G80,3.8,6.0,SemiAuto-8,4WD,Gasoline,large car,5,18,25,20,4,No
289,GENESIS G80,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
290,GENESIS G80,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
291,GENESIS G90,3.3,6.0,SemiAuto-8,2WD,Gasoline,large car,3,17,24,20,4,No
292,GENESIS G90,3.3,6.0,SemiAuto-8,4WD,Gasoline,large car,3,17,24,20,4,No
293,GENESIS G90,5.0,8.0,SemiAuto-8,2WD,Gasoline,large car,5,16,24,19,3,No
294,GENESIS G90,5.0,8.0,SemiAuto-8,4WD,Gasoline,large car,5,15,23,18,3,No
295,GMC Acadia,2.5,4.0,Auto-6,2WD,Gasoline,standard SUV,3,21,26,23,5,No
296,GMC Acadia,2.5,4.0,Auto-6,4WD,Gasoline,standard SUV,3,21,25,23,5,No
297,GMC Acadia,3.6,6.0,Auto-6,2WD,Gasoline,standard SUV,5,18,25,21,4,No
298,GMC Acadia,3.6,6.0,Auto-6,4WD,Gasoline,standard SUV,5,17,25,20,4,No
299,GMC Canyon,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
300,GMC Canyon,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
301,GMC Canyon,2.5,4.0,Man-6,2WD,Gasoline,pickup,5,20,26,22,4,No
302,GMC Canyon,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,22,30,25,4,No
303,GMC Canyon,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,20,28,23,4,No
304,GMC Canyon,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
305,GMC Canyon,3.6,6.0,Auto-8,2WD,Gasoline,special purpose,5,15,15,15,2,No
306,GMC Canyon,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
307,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gasoline,pickup,3,16,23,19,3,No
308,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,3,15,20,17,3,No
309,GMC Sierra 15,5.3,8.0,Auto-6,4WD,Gasoline,pickup,3,16,22,18,3,No
310,GMC Sierra 15,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,3,15,19,17,3,No
311,GMC Sierra 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,18,24,20,4,No
312,GMC Sierra 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,16,22,18,3,No
313,GMC Sierra 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,16,21,18,3,No
314,GMC Sierra 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
315,GMC Sierra 15,6.2,8.0,Auto-8,2WD,Gasoline,pickup,3,15,21,17,3,No
316,GMC Sierra 15,6.2,8.0,Auto-8,4WD,Gasoline,pickup,3,15,20,17,3,No
317,GMC Terrain,1.5,4.0,Auto-9,2WD,Gasoline,small SUV,5,26,30,28,6,No
318,GMC Terrain,1.5,4.0,Auto-9,4WD,Gasoline,small SUV,5,24,28,26,5,No
319,GMC Terrain,1.6,4.0,Auto-6,2WD,Diesel,small SUV,3,28,39,32,6,No
320,GMC Terrain,1.6,4.0,Auto-6,4WD,Diesel,small SUV,3,28,38,32,6,No
321,GMC Terrain,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,28,24,5,No
322,GMC Terrain,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,21,26,23,5,No
323,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
324,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,16,22,18,3,No
325,GMC Yukon 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
326,GMC Yukon 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,22,17,3,No
327,GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16,23,19,3,No
328,GMC Yukon 1500 XL,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
329,GMC Yukon XL 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15,22,18,3,No
330,GMC Yukon XL 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14,21,16,2,No
331,HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,7,31,40,34,8,Yes
332,HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,3,31,40,34,8,Yes
333,HONDA Civic 5Dr,1.5,4.0,Man-6,2WD,Gasoline,large car,3,29,38,33,8,Yes
334,HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,7,30,36,32,7,Yes
335,HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,3,30,36,32,7,Yes
336,HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7,33,40,36,8,Yes
337,HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3,29,36,31,7,Yes
338,HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7,31,36,33,8,Yes
339,HONDA HR-V,1.8,4.0,CVT,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
340,HONDA HR-V,1.8,4.0,CVT,4WD,Gasoline,station wagon,3,27,31,29,6,No
341,HONDA HR-V,1.8,4.0,Man-6,2WD,Gasoline,station wagon,3,25,33,28,6,No
342,HONDA HR-V,1.8,4.0,SCV-7,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
343,HONDA HR-V,1.8,4.0,SCV-7,4WD,Gasoline,station wagon,3,27,31,29,6,No
344,HONDA Ridgeline,3.5,6.0,Auto-6,2WD,Gasoline,pickup,3,19,26,22,4,No
345,HONDA Ridgeline,3.5,6.0,Auto-6,4WD,Gasoline,pickup,3,18,25,21,4,No
346,HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3,32,40,35,8,Yes
347,HYUNDAI Elantra,1.6,4.0,AutoMan-7,2WD,Gasoline,midsize car,3,26,33,29,6,No
348,HYUNDAI Elantra,1.6,4.0,Man-6,2WD,Gasoline,midsize car,3,22,30,25,5,No
349,HYUNDAI Elantra,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5,26,36,29,6,No
350,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
351,HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,28,37,32,7,Yes
352,HYUNDAI Elantra GT,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3,26,32,28,6,No
353,HYUNDAI Elantra GT,1.6,4.0,Man-6,2WD,Gasoline,large car,3,22,29,25,5,No
354,HYUNDAI Elantra GT,2.0,4.0,Man-6,2WD,Gasoline,large car,3,23,31,26,5,No
355,HYUNDAI Elantra GT,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,3,24,32,27,6,No
356,HYUNDAI Elantra SE,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,29,38,33,8,Yes
357,HYUNDAI Elantra SE,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
358,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,18,25,21,4,No
359,HYUNDAI Santa Fe,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,18,24,20,4,No
360,HYUNDAI Santa Fe Sport,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20,28,23,5,No
361,HYUNDAI Santa Fe Sport,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19,26,22,4,No
362,HYUNDAI Santa Fe Sport,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,21,27,24,5,No
363,HYUNDAI Santa Fe Sport,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,20,26,22,4,No
364,HYUNDAI Santa Fe Sport Ultimate,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20,27,23,5,No
365,HYUNDAI Santa Fe Sport Ultimate,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19,24,21,4,No
366,HYUNDAI Santa Fe Ultimate,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,17,23,20,4,No
367,HYUNDAI Santa Fe Ultimate,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,17,22,19,3,No
368,HYUNDAI Sonata,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,5,28,37,31,7,Yes
369,HYUNDAI Sonata,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,5,23,32,26,5,No
370,HYUNDAI Sonata,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,25,35,28,6,No
371,HYUNDAI Sonata,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,25,35,28,6,No
372,HYUNDAI Sonata SE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,25,36,29,6,No
373,HYUNDAI Sonata SE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,25,36,29,6,No
374,INFINITI Q50,2.0,4.0,SemiAuto-7,2WD,Gasoline,midsize car,3,23,30,25,5,No
375,INFINITI Q50,2.0,4.0,SemiAuto-7,4WD,Gasoline,midsize car,3,22,28,24,5,No
376,INFINITI Q50,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,20,29,23,5,No
377,INFINITI Q50,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,3,19,27,22,4,No
378,INFINITI Q50 Hybrid,3.5,6.0,SemiAuto-7,2WD,Gasoline,small car,3,27,32,29,6,No
379,INFINITI Q50 Hybrid,3.5,6.0,SemiAuto-7,4WD,Gasoline,small car,3,26,30,28,6,No
380,INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,20,26,22,4,No
381,INFINITI Q50 Red Sport,3.0,6.0,SemiAuto-7,4WD,Gasoline,midsize car,3,19,26,22,4,No
382,INFINITI Q70,3.7,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,18,25,21,4,No
383,INFINITI Q70,3.7,6.0,SemiAuto-7,4WD,Gasoline,midsize car,3,18,24,20,4,No
384,INFINITI Q70,5.6,8.0,SemiAuto-7,2WD,Gasoline,midsize car,3,16,24,19,3,No
385,INFINITI Q70,5.6,8.0,SemiAuto-7,4WD,Gasoline,midsize car,3,16,23,18,3,No
386,INFINITI Q70 Hybrid,3.5,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,28,33,30,7,Yes
387,INFINITI QX30,2.0,4.0,AutoMan-7,2WD,Gasoline,small car,3,24,33,27,6,No
388,INFINITI QX30,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,3,21,30,25,5,No
389,JAGUAR F-Pace,2.0,4.0,SemiAuto-8,4WD,Diesel,small SUV,1,26,33,29,5,No
390,JAGUAR F-Pace,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,22,27,24,5,No
391,JAGUAR F-Pace,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7,18,23,20,4,No
392,JAGUAR F-Type Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7,16,24,19,3,No
393,JAGUAR F-Type Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No
394,JAGUAR F-Type Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,7,16,24,19,3,No
395,JAGUAR F-Type Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,20,28,23,5,No
396,JAGUAR F-Type R Convertible,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,23,18,3,No
397,JAGUAR F-Type R Coupe,5.0,8.0,SemiAuto-8,4WD,Gasoline,small car,3,15,23,18,3,No
398,JAGUAR F-Type S Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,7,15,24,18,3,No
399,JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No
400,JAGUAR F-Type S Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No
401,JAGUAR F-Type S Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,7,15,24,18,3,No
402,JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,19,27,22,4,No
403,JAGUAR F-Type S Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,7,18,26,21,4,No
404,JAGUAR XE,2.0,4.0,SemiAuto-8,2WD,Diesel,small car,1,32,42,36,7,No
405,JAGUAR XE,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,25,34,28,6,No
406,JAGUAR XE,2.0,4.0,SemiAuto-8,4WD,Diesel,small car,1,30,40,34,7,No
407,JAGUAR XE,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,24,34,28,6,No
408,JAGUAR XE,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,7,21,30,24,5,No
409,JAGUAR XE,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,7,20,29,23,5,No
410,JAGUAR XF,2.0,4.0,SemiAuto-8,2WD,Diesel,midsize car,1,31,42,35,7,No
411,JAGUAR XF,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,25,34,28,6,No
412,JAGUAR XF,2.0,4.0,SemiAuto-8,4WD,Diesel,midsize car,1,30,40,34,7,No
413,JAGUAR XF,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,23,33,27,6,No
414,JAGUAR XF,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,7,20,29,23,5,No
415,JAGUAR XF,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,7,20,28,23,5,No
416,JEEP Cherokee,2.4,4.0,Auto-9,2WD,Gasoline,small SUV,7,21,30,25,5,No
417,JEEP Cherokee,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,3,21,28,23,5,No
418,JEEP Cherokee,3.2,6.0,Auto-9,2WD,Gasoline,small SUV,3,21,29,24,5,No
419,JEEP Cherokee,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,3,20,27,23,5,No
420,JEEP Cherokee 4x4 Active Drive II,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,7,21,27,23,5,No
421,JEEP Cherokee 4x4 Active Drive II,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,1,21,27,23,5,No
422,JEEP Cherokee 4x4 Active Drive II,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,3,18,26,21,4,No
423,JEEP Cherokee Trailhawk,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,7,19,25,22,4,No
424,JEEP Cherokee Trailhawk,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,1,19,25,22,4,No
425,JEEP Cherokee Trailhawk,3.2,6.0,Auto-9,4WD,Gasoline,small SUV,3,18,24,21,4,No
426,JEEP Compass,2.4,4.0,Auto-6,2WD,Gasoline,small SUV,7,22,31,25,5,No
427,JEEP Compass,2.4,4.0,Auto-9,4WD,Gasoline,small SUV,7,22,30,25,5,No
428,JEEP Compass,2.4,4.0,Man-6,2WD,Gasoline,small SUV,3,23,32,26,5,No
429,JEEP Compass,2.4,4.0,Man-6,4WD,Gasoline,small SUV,3,22,31,25,5,No
430,JEEP Grand Cherokee,3.6,6.0,Auto-8,2WD,Gasoline,standard SUV,5,19,26,21,4,No
431,JEEP Grand Cherokee,3.6,6.0,Auto-8,4WD,Gasoline,standard SUV,5,18,25,21,4,No
432,JEEP Grand Cherokee,5.7,8.0,Auto-8,4WD,Gasoline,standard SUV,3,14,22,17,3,No
433,JEEP Grand Cherokee SRT,6.4,8.0,Auto-8,4WD,Gasoline,standard SUV,1,13,19,15,2,No
434,KIA Forte,2.0,4.0,Man-6,2WD,Gasoline,midsize car,5,25,34,28,6,No
435,KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,29,37,32,7,Yes
436,KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,29,37,32,7,Yes
437,KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,25,33,28,6,No
438,KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,3,25,33,28,6,No
439,KIA Forte5,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3,25,30,27,6,No
440,KIA Forte5,1.6,4.0,Man-6,2WD,Gasoline,large car,3,23,29,25,5,No
441,KIA Forte5,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,3,25,34,28,6,No
442,KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3,28,37,31,7,Yes
443,KIA Optima,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,3,22,31,25,5,No
444,KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,24,34,28,6,No
445,KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,24,34,28,6,No
446,KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7,25,36,29,6,No
447,KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5,25,36,29,6,No
448,KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,small car,3,29,37,32,7,Yes
449,KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3,28,37,32,7,Yes
450,KIA Sedona,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3,18,24,20,4,No
451,KIA Sedona SX,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3,18,25,21,4,No
452,KIA Sedona SXL,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3,17,22,19,3,No
453,KIA Sorento,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20,27,23,5,No
454,KIA Sorento,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19,25,22,4,No
455,KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,21,28,24,5,No
456,KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,22,4,No
457,KIA Sorento,3.3,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,18,25,20,4,No
458,KIA Sorento,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,17,23,19,3,No
459,KIA Sorento FE,3.3,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,18,25,21,4,No
460,KIA Soul,1.6,4.0,AutoMan-7,2WD,Gasoline,station wagon,3,26,31,28,6,No
461,KIA Soul,1.6,4.0,Man-6,2WD,Gasoline,station wagon,3,24,30,27,6,No
462,KIA Soul,1.6,4.0,SemiAuto-6,2WD,Gasoline,station wagon,3,25,30,27,6,No
463,KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,7,25,30,27,6,No
464,KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,station wagon,5,25,30,27,6,No
465,KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,21,26,23,5,No
466,KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20,23,21,4,No
467,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,22,29,25,5,No
468,KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,22,29,25,5,No
469,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21,25,23,5,No
470,KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,23,5,No
471,KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,7,23,30,26,5,No
472,KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,23,30,26,5,No
473,KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,7,21,25,22,4,No
474,KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5,21,25,22,4,No
475,LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,10,17,12,1,No
476,LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,10,16,12,1,No
477,LAMBORGHINI Aventador S Coupe,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,10,17,12,1,No
478,LAMBORGHINI Aventador S Roadster,6.5,12.0,AMS-7,4WD,Gasoline,small car,1,10,16,12,1,No
479,LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Diesel,small SUV,1,26,30,28,5,No
480,LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No
481,LAND ROVER Range Rover Velar,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,7,18,24,20,4,No
482,LEXUS GX 460,4.6,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,18,16,2,No
483,LEXUS LC 500,5.0,8.0,SemiAuto-10,2WD,Gasoline,small car,5,16,26,19,3,No
484,LEXUS LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,7,26,35,30,7,Yes
485,LEXUS LX 570,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
486,LINCOLN Continental,2.7,6.0,SemiAuto-6,2WD,Gasoline,large car,5,18,27,21,4,No
487,LINCOLN Continental,2.7,6.0,SemiAuto-6,4WD,Gasoline,large car,5,17,25,20,4,No
488,LINCOLN Continental,3.0,6.0,SemiAuto-6,4WD,Gasoline,large car,5,16,24,19,3,No
489,LINCOLN Continental,3.7,6.0,SemiAuto-6,2WD,Gasoline,large car,3,17,26,20,4,No
490,LINCOLN Continental,3.7,6.0,SemiAuto-6,4WD,Gasoline,large car,3,16,24,19,3,No
491,LINCOLN MKT,3.5,6.0,SemiAuto-6,4WD,Gasoline,standard SUV,3,15,21,17,3,No
492,LINCOLN MKT,3.7,6.0,SemiAuto-6,2WD,Gasoline,standard SUV,3,16,24,19,3,No
493,LINCOLN MKT Livery,3.7,6.0,Auto-6,4WD,Gasoline,special purpose,3,16,23,18,3,No
494,MASERATI Ghibli,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,1,17,24,19,3,No
495,MASERATI Ghibli S,3.0,6.0,Auto-8,2WD,Gasoline,midsize car,1,16,24,19,3,No
496,MASERATI Ghibli S Q4,3.0,6.0,Auto-8,4WD,Gasoline,midsize car,1,16,24,19,3,No
497,MASERATI Granturismo,4.7,8.0,Auto-6,2WD,Gasoline,small car,1,13,21,16,2,No
498,MASERATI Granturismo Convertible,4.7,8.0,Auto-6,2WD,Gasoline,small car,1,13,20,15,2,No
499,MASERATI Levante,3.0,8.0,Auto-8,4WD,Gasoline,standard SUV,1,14,20,16,2,No
500,MASERATI Levante S,3.0,8.0,Auto-8,4WD,Gasoline,standard SUV,1,14,19,16,2,No
501,MASERATI Quattroporte S,3.0,6.0,Auto-8,2WD,Gasoline,large car,1,16,23,18,3,No
502,MASERATI Quattroporte S Q4,3.0,6.0,Auto-8,4WD,Gasoline,large car,1,16,23,18,3,No
503,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27,37,31,7,Yes
504,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28,38,31,7,Yes
505,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
506,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28,37,31,7,Yes
507,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26,35,30,7,Yes
508,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27,36,30,7,Yes
509,MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,29,34,31,7,Yes
